rank,symbol,company,price,change,volume,market_cap,pe,sector,classification,score,market_session,confirmation_reference,failure_reference,reasons
1,ASTM,Asim Textile Mills Limited,134.26,3.189608792560117,407793.0,2037664019.9999998,132.93069306930695,Textile Spinning,Reversal required,90.0,2026-09-18,135.94,88.41,Price trend or momentum has not turned upward
2,MWMP,Mandviwala Mauser Plastic Industries,92.39,7.106422443774618,1526890.0,2656040007.87,22.589242053789732,Miscellaneous,Overextended,90.0,2026-09-18,94.89,64.0,Price has run ahead; wait for a new base
3,NETSOL,NetSol Technologies Limited,126.02,1.0666452802951198,1284826.0,11321249036.46,5.656193895870736,Technology & Communication,Confirmation required,85.0,2026-09-18,126.8,117.5,Trend strength below minimum; Stock-specific news/event review still needed
4,SPSL,Sitara Petroleum Service Limited,16.54,9.97340425531914,13979647.0,27785777560.0,0.6618647458983594,Oil & Gas Marketing Companies,Confirmation required,80.0,2026-09-18,16.54,14.75,Large daily move; check exchange limit and ability to trade
5,NRL,National Refinery Limited,518.61,-0.0886200319802799,741585.0,41471457681.6,6.727331690232196,Refinery,Reversal required,77.5,2026-09-18,549.68,515.0,Price trend or momentum has not turned upward
6,ASL,Aisha Steel Mills Limited,17.03,-0.4093567251462038,11320362.0,15851265501.630001,17.202020202020204,Engineering,Reversal required,77.5,2026-09-18,17.77,15.81,Price trend or momentum has not turned upward
7,GDL,Ghani Dairies Limited,17.75,-0.7270693512304249,557411.0,7618300000.0,0.0,Food & Personal Care Products,Confirmation required,77.5,2026-09-18,18.49,16.1,Moving averages not aligned upward; Volume/closing-pressure confirmation missing; Stock-specific news/event review still needed
8,MFL,Matco Foods Limited,45.61,5.799118533982828,5122841.0,5582695835.78,21.413145539906104,Food & Personal Care Products,Confirmation required,75.0,2026-09-18,46.4,37.65,Moving averages not aligned upward; Trend strength below minimum; Stock-specific news/event review still needed
9,EPCL,Engro Polymer & Chemicals Limited,34.21,2.701891323926753,886616.0,31094267221.93,20.859756097560975,Chemical,Reversal required,70.0,2026-09-18,34.6,32.0,Price trend or momentum has not turned upward
10,FCEPL,Frieslandcampina Engro Pakistan Limited,139.86,0.47413793103450175,277866.0,107216127049.50002,20.720000000000002,Food & Personal Care Products,Reversal required,67.5,2026-09-18,141.74,131.51,Price trend or momentum has not turned upward
11,EFERT,Engro Fertilizers Limited,188.22,0.6362615623161982,229791.0,251330048362.5,12.198314970836032,Fertilizer,Confirmation required,67.5,2026-09-18,190.5,186.17,Moving averages not aligned upward; Momentum not confirmed; Volume/closing-pressure confirmation missing; Stock-specific news/event review still needed
12,SELECT,Select Technologies Limited,29.96,6.015569709837232,10061379.0,26631111114.440002,0.0,Technology & Communication,Confirmation required,65.0,2026-09-18,31.09,25.26,Moving averages not aligned upward; Trend strength below minimum; Stock-specific news/event review still needed
